day_utc,rows,finite_F_minutes,finite_flow_speed_minutes,finite_SYM_H_minutes,daily_min_SYM_H_nT,daily_max_SYM_H_nT,abs_daily_min_SYM_H,daily_SYM_H_interdecile_range,daily_F_median_nT,daily_F_interdecile_range,daily_flow_speed_median_km_s,daily_flow_speed_interdecile_range,median_percent_interp,maximum_percent_interp
2024-04-09 00:00:00+00:00,1440,1423,1141,1440,-27.0,3.0,27.0,18.0,7.09,2.5700000000000003,367.7,78.30000000000001,0.0,100.0
2024-04-10 00:00:00+00:00,1440,1395,971,1440,-14.0,0.0,14.0,5.0,6.73,2.17,417.3,47.10000000000002,50.0,100.0
2024-04-11 00:00:00+00:00,1440,1415,951,1440,-10.0,6.0,10.0,8.0,5.38,1.3960000000000017,425.4,35.700000000000045,14.0,100.0
2024-04-12 00:00:00+00:00,1440,1402,741,1440,-5.0,8.0,5.0,8.0,4.4350000000000005,0.9699999999999998,384.6,41.599999999999966,92.5,100.0
2024-04-13 00:00:00+00:00,1440,1345,945,1440,-1.0,11.0,1.0,7.0,3.8,1.2660000000000013,352.1,35.860000000000014,78.0,100.0
2024-04-14 00:00:00+00:00,1440,1420,970,1440,-3.0,18.0,3.0,13.0,4.57,1.751,352.45,35.40999999999997,67.0,100.0
2024-04-15 00:00:00+00:00,1440,1379,680,1440,-21.0,14.0,21.0,20.0,4.48,5.41,343.95,35.81,90.0,100.0
2024-04-16 00:00:00+00:00,1440,1354,770,1440,-77.0,-21.0,77.0,39.0,9.74,3.879999999999999,371.1,28.220000000000027,38.0,100.0
2024-04-17 00:00:00+00:00,1440,1331,919,1440,-66.0,-9.0,66.0,21.0,7.47,4.2,353.1,23.420000000000016,0.0,100.0
2024-04-18 00:00:00+00:00,1440,1347,707,1440,-13.0,5.0,13.0,10.0,6.29,4.05,346.6,84.0,65.0,100.0
2024-04-19 00:00:00+00:00,1440,1327,966,1440,-139.0,15.0,139.0,110.0,11.5,10.794,393.3,142.95000000000005,0.0,100.0
2024-04-20 00:00:00+00:00,1440,1320,869,1440,-82.0,-44.0,82.0,25.0,4.55,1.3800000000000003,465.8,59.41999999999996,88.0,100.0
2024-04-21 00:00:00+00:00,1440,1393,1006,1440,-73.0,-38.0,73.0,22.0,5.79,2.847999999999999,450.15,41.0,8.0,100.0
2024-04-22 00:00:00+00:00,1440,1362,880,1440,-50.0,-21.0,50.0,18.0,6.21,1.4299999999999997,421.75,62.54000000000002,80.0,100.0
2024-04-23 00:00:00+00:00,1440,1364,989,1440,-37.0,-13.0,37.0,15.0,5.59,1.1499999999999995,382.5,30.260000000000048,13.0,100.0
2024-04-24 00:00:00+00:00,1440,1367,960,1440,-27.0,-5.0,27.0,9.0,3.85,2.774,366.6,27.30000000000001,36.0,100.0
2024-04-25 00:00:00+00:00,1440,1352,890,1440,-10.0,1.0,10.0,7.0,4.37,1.5,322.1,30.20999999999998,63.0,100.0
2024-04-26 00:00:00+00:00,1440,1338,708,1440,-52.0,-4.0,52.0,32.0,10.015,7.056,330.5,26.83000000000004,40.0,100.0
2024-04-27 00:00:00+00:00,1440,1340,913,1440,-46.0,1.0,46.0,33.0,10.42,8.51,403.7,100.18,20.0,100.0
2024-04-28 00:00:00+00:00,1440,1362,1012,1440,-44.0,0.0,44.0,34.0,5.49,1.4799999999999995,416.0,44.19999999999999,50.0,100.0
2024-04-29 00:00:00+00:00,1440,1325,904,1440,-17.0,18.0,17.0,26.099999999999994,4.19,2.8660000000000005,450.25,50.60999999999996,67.0,100.0
2024-04-30 00:00:00+00:00,1440,1358,1026,1440,-27.0,34.0,27.0,34.0,4.01,7.8500000000000005,395.4,39.80000000000001,43.0,100.0
